District,PM10,Category
balaghat,74.18,satisfactory
barwani,84.15,satisfactory
betul,102.61,moderate
bhind,68.46,satisfactory
bhopal,125.5,moderate
chhatarpur,69.1,satisfactory
chhindwara,88.78,satisfactory
damoh,43.57,good
datia,71.73,satisfactory
dewas,96.48,satisfactory
dhar,114.12,moderate
dindori,60.46,satisfactory
guna,72.5,satisfactory
gwalior,137.01,moderate
harda,91.43,satisfactory
indore,101.78,moderate
jabalpur,111.85,moderate
jhabua,92.41,satisfactory
katni,123.5,moderate
mandla,77.64,satisfactory
mandsaur,77.53,satisfactory
morena,68.41,satisfactory
narsimhapur,74.08,satisfactory
panna,63.8,satisfactory
raisen,103.92,moderate
rajgarh,78.18,satisfactory
ratlam,104.33,moderate
rewa,49.64,good
sagar,86.73,satisfactory
satna,72.13,satisfactory
sehore,87.45,satisfactory
seoni,72.95,satisfactory
shahdol,72.37,satisfactory
shajapur,78.89,satisfactory
sheopur,64.67,satisfactory
shivpuri,66.69,satisfactory
sidhi,65.08,satisfactory
tikamgarh,59.52,satisfactory
ujjain,111.15,moderate
vidisha,95.14,satisfactory
