District,Population
balaghat,1701698
barwani,1385881
betul,1575362
bhind,1703005
bhopal,2371061
chhatarpur,1762375
chhindwara,2090922
damoh,1264219
datia,786754
dewas,1563715
dhar,2185793
dindori,704524
guna,1241519
gwalior,2032036
harda,570465
indore,3276697
jabalpur,2463289
jhabua,1025048
katni,1292042
mandla,1054905
mandsaur,1340411
morena,1965970
narsimhapur,1091854
panna,1016520
raisen,1331597
rajgarh,1545814
ratlam,1455069
rewa,2365106
sagar,2378458
satna,2228935
sehore,1311332
seoni,1379131
shahdol,1066063
shajapur,1512681
sheopur,687861
shivpuri,1726050
sidhi,1127033
tikamgarh,1445166
ujjain,1986864
vidisha,1458875
