level_0,index,Area_Type,State Name,District Name,Water_Body_Type,Water_body_in_use,Reason_for_Water_Body_Use,Water_Body_Nature,construcion_year,construction_cost,Renovation_Year,renovation_cost,Repair_Renovation_Status,Original_Storage_Capacity,Present_Storage_Capacity,filled_up_storage_name,filled_up_storage_space_name,no_people_benefited_by_water_body,reason_water_body_in_use_name2,storage_capacity_change,population_density_benefited
0,0,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,23481,15654,Nil/Negligible filled up,Rarely filled up,4.0,,-7827,1.1251010766788274
1,1,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2019.0,80000.0,,,0,632,432,Nil/Negligible filled up,Rarely filled up,4.0,,-200,1.1251010766788274
2,2,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,70000.0,,,0,4600,4500,Upto 1/4,Rarely filled up,4.0,,-100,1.1251010766788274
3,3,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,50000.0,,,0,3000,2400,Upto 1/2,Rarely filled up,2.0,,-600,1.1251010766788274
4,4,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,990,540,Nil/Negligible filled up,Never filled up,2.0,,-450,1.1251010766788274
5,5,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,675,240,Nil/Negligible filled up,Never filled up,2.0,,-435,1.1251010766788274
6,6,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,6675,2670,Full,Usually filled up,3.0,,-4005,1.1251010766788274
7,7,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,14536,13000,Upto 1/2,Rarely filled up,20.0,,-1536,1.1251010766788274
8,8,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,7614,2538,Upto 1/2,Rarely filled up,1.0,,-5076,1.1251010766788274
9,9,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,2358,1179,Upto 1/2,Rarely filled up,3.0,,-1179,1.1251010766788274
10,10,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,23040,9216,Nil/Negligible filled up,Rarely filled up,4.0,,-13824,1.1251010766788274
11,11,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,12000,9500,Full,Filled up every year,15.0,,-2500,1.1251010766788274
12,12,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,46314,40138,Full,Filled up every year,6.0,,-6176,1.1251010766788274
13,13,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1120,520,Full,Filled up every year,2.0,,-600,1.1251010766788274
14,14,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2800,1400,Full,Filled up every year,2.0,,-1400,1.1251010766788274
15,15,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,11200,2800,Full,Filled up every year,4.0,,-8400,1.1251010766788274
